id,text,nreposts,nlikes,nviews,tag
31923,"Я уже рассказывал о том, что на даче завелась мышка. В прошлый свой приезд я поговорил с ней по душам, она поняла и убежала.",2,247,7413.0,Карпенко_ВШЭ
31916,"Итак, возвращаемся к нашей настолько измененной Конституции РФ, что хочется плакать...",5,286,7489.0,ФП
31910,"С: А сколько весит тест?П: Приносите, взвесим.",5,346,7994.0,Макроэкономика
31906,"Вас не так много, как было вначале. Сдохли, да?",7,298,7399.0,Чамина_ВШЭ
31901,"Богачёв: Если вы сойдете с ума, вас посадят в дурку. А если вы защитите докторскую, станете профессором, а уже потом сойдете с ума, то так и будете преподавать в вузе. Ауд: Так вот почему вы в аспирантуру пошли. У вас есть докторская? Богачев: Лучше, у меня справка есть!",15,328,7551.0,Богачев_ВШЭ
31851,"*в зуме у студента стоит виртуальный фон*""фамилия"", ты почему исчезаешь на фоне странных мужиков?",12,286,9142.0,Нагих_ВШЭ
31839,"Пойду, у меня там кот орет, обращу на него внимание. Ну, и дети тоже. На детей, конечно, меньше внимания, чем на кота.",2,304,7501.0,Стеженская_ВШЭ
31834,"Люди постоянно испытывают новые эмоции. Я могу придумать какое-то новое слово, абсолютную абракадабру из языка муми-троллей, скажем, «лентиль», и сказать, что оно обозначает тоску преподавателя по студентам. В следующий раз я вам скажу, что испытываю «лентиль», и вы меня поймёте. ",4,206,7757.0,Симонова_ВШЭ
31817,"Настоящих друзей может быть только 6, не больше. Почему? Потому что только шестеро друзей могут понести ваш гроб.",11,266,9638.0,Алтухов_ВШЭ
31801,А вы еще сборник моих цитат не начали вести???,2,212,7416.0,Нагих_ВШЭ
31796,"С: Я поняла, что будет проблематично раскрыть тему феминизма в Китае, поэтому взяла тему сортировки мусора.П: От женщин к мусору. Нормально.",2,298,7238.0,Виноградов_ВШЭ
31790,"*занятие в зуме, 32 участника. Преподаватель задал вопрос, в ответ тишина- Do you know the English equivalent for the term ""мертвые души""? I think we have some...",4,398,10443.0,Ершова_ВШЭ
31759,"К сожалению не могу в этот раз придумать пример с алкоголем, поэтому будет сложнее.",3,245,5612.0,Винкельман_ВШЭ
31740,"- Сейчас Вам надо очень много читать, но главное успевать выпивать.",9,215,5985.0,Дохов_ВШЭ
31735,С: Буду высококвалифицированным юристом!П: Вот не надо нам тут угрожать.,7,278,6525.0,Нагих_ВШЭ
31724,П: Почему вы такие позитивные на пятой паре?С: Мы пытаемся выжить.,6,293,6760.0,Муравьёва_ВШЭ
